,index,carat,cut,color,clarity,depth,table,price,x,y,z
0,1388,0.24,Ideal,G,VVS1,62.1,56.0,559,3.97,4.0,2.47
1,50052,0.58,Very Good,F,VVS2,60.0,57.0,2201,5.44,5.42,3.26
2,41645,0.4,Ideal,E,VVS2,62.1,55.0,1238,4.76,4.74,2.95
3,42377,0.43,Premium,E,VVS2,60.8,57.0,1304,4.92,4.89,2.98
4,17244,1.55,Ideal,E,SI2,62.3,55.0,6901,7.44,7.37,4.61
5,1608,1.0,Fair,E,SI2,55.4,62.0,3011,6.63,6.59,3.66
6,46398,0.51,Ideal,F,VS1,60.2,56.0,1765,5.22,5.24,3.15
7,45493,0.52,Ideal,D,VS2,62.0,56.0,1679,5.17,5.19,3.21
8,49385,0.62,Premium,E,VS2,60.0,59.0,2102,5.58,5.56,3.34
9,10460,1.14,Ideal,H,SI1,60.3,57.0,4789,6.79,6.85,4.11
10,34243,0.4,Ideal,D,SI2,62.8,56.0,855,4.73,4.7,2.96
11,24772,1.83,Very Good,E,SI2,62.8,56.0,13134,7.76,7.82,4.89
12,42987,0.6,Fair,F,SI1,55.3,63.0,1367,5.67,5.61,3.12
13,51711,0.7,Very Good,F,SI1,63.5,56.0,2401,5.58,5.66,3.57
14,43777,0.53,Good,H,IF,61.2,65.0,1440,5.16,5.27,3.19
15,22232,1.55,Ideal,I,VS1,61.2,55.0,10286,7.49,7.47,4.58
16,1319,0.98,Fair,F,SI2,61.6,66.0,2958,6.46,6.24,3.92
17,43219,0.4,Ideal,E,VVS1,62.6,56.0,1397,4.73,4.7,2.95
18,21843,1.5,Very Good,F,SI1,62.8,56.0,9904,7.26,7.33,4.58
19,53626,0.35,Very Good,I,VS1,60.7,62.0,552,4.53,4.59,2.77
20,27497,2.07,Premium,I,VS2,61.2,58.0,18193,8.18,8.2,5.01
21,36554,0.4,Premium,E,SI1,60.9,60.0,945,4.77,4.75,2.9
22,21055,0.31,Ideal,F,VS2,61.9,55.0,625,4.31,4.35,2.68
23,23028,0.3,Ideal,H,VVS2,61.7,54.2,631,4.32,4.35,2.67
24,5536,0.91,Ideal,H,SI2,60.6,57.0,3854,6.3,6.26,3.81
25,43434,0.53,Ideal,E,SI1,61.4,56.0,1415,5.21,5.24,3.21
26,38522,0.34,Ideal,E,VS1,60.8,57.0,1033,4.53,4.49,2.74
27,24964,2.02,Ideal,F,SI2,62.7,57.0,13453,8.07,7.93,5.03
28,19771,1.04,Ideal,D,VS1,59.1,56.0,8341,6.65,6.59,3.91
29,40271,0.23,Ideal,F,VS2,61.8,55.0,493,3.93,3.96,2.43
30,8473,1.01,Ideal,F,SI2,62.5,55.0,4416,6.39,6.4,4.0
31,43496,0.54,Premium,E,SI1,61.4,60.0,1422,5.21,5.25,3.21
32,23558,2.01,Very Good,J,SI1,63.4,57.0,11566,7.97,7.89,5.03
33,46750,0.51,Good,G,VVS2,63.3,58.0,1800,5.04,5.07,3.2
34,49727,0.5,Very Good,F,VVS2,62.8,55.0,2153,5.0,5.13,3.18
35,34922,0.3,Ideal,J,VS1,62.6,53.0,373,4.28,4.32,2.69
36,31849,0.3,Ideal,F,VS2,60.9,56.0,776,4.35,4.32,2.64
37,47712,0.5,Very Good,G,VVS1,63.3,53.0,1885,5.06,5.09,3.21
38,48446,0.51,Very Good,G,VVS2,63.1,58.0,1974,5.11,5.07,3.21
39,27596,2.09,Premium,H,VS2,62.2,58.0,18443,8.17,8.12,5.06
40,50090,0.62,Ideal,G,VS1,60.7,55.0,2206,5.55,5.59,3.38
41,45996,0.53,Very Good,D,SI1,60.0,59.8,1724,5.25,5.26,3.15
42,34230,0.4,Premium,E,SI2,61.4,59.0,855,4.75,4.7,2.9
43,26268,2.0,Very Good,H,SI1,62.2,57.0,15745,7.97,8.08,4.99
44,1632,0.7,Ideal,E,VS1,62.7,57.0,3016,5.65,5.7,3.56
45,30200,0.42,Good,F,SI1,63.1,56.0,722,4.79,4.82,3.03
46,24572,1.6,Ideal,F,SI1,61.0,57.0,12871,7.54,7.6,4.62
47,23577,1.5,Premium,F,SI1,61.4,59.0,11588,7.34,7.31,4.5
48,27239,2.52,Good,G,SI2,63.7,59.0,17608,8.57,8.52,5.44
49,18519,1.35,Very Good,H,VS2,62.3,57.0,7549,7.06,7.12,4.42
50,36083,0.33,Ideal,G,IF,61.9,56.0,925,4.43,4.47,2.75
51,20868,1.41,Good,H,VS2,63.8,60.0,9088,7.04,7.12,4.52
52,3751,0.78,Ideal,D,SI2,61.4,57.0,3454,5.91,5.94,3.64
53,16971,1.01,Very Good,G,VS1,58.8,58.0,6777,6.52,6.61,3.86
54,9526,0.9,Very Good,H,VVS2,61.8,60.0,4617,6.11,6.15,3.79
55,14936,1.23,Ideal,J,VS2,61.2,57.0,6015,6.93,6.88,4.23
56,6916,0.9,Premium,G,VS2,62.0,60.0,4137,6.19,6.14,3.82
57,28649,0.31,Very Good,I,VS2,62.3,57.0,435,4.32,4.35,2.7
58,5876,0.91,Good,F,SI1,63.7,58.0,3924,6.09,6.02,3.86
59,46504,0.56,Ideal,F,VS2,60.8,56.0,1778,5.33,5.3,3.23
60,52124,0.91,Premium,E,I1,59.6,59.0,2464,6.29,6.32,3.76
61,31327,0.3,Very Good,E,VVS2,62.4,57.0,759,4.28,4.31,2.68
62,26153,2.18,Premium,J,VS2,60.1,58.0,15465,8.46,8.41,5.07
63,1414,1.06,Premium,I,SI2,61.5,57.0,2968,6.57,6.49,4.02
64,34532,0.3,Ideal,F,VVS1,62.1,55.0,868,4.31,4.32,2.68
65,43946,0.32,Ideal,E,SI1,62.2,54.0,516,4.38,4.4,2.73
66,708,0.68,Premium,F,VVS2,61.7,57.0,2854,5.67,5.64,3.49
67,46868,0.53,Ideal,G,VS1,62.7,55.0,1813,5.18,5.16,3.24
68,45181,0.51,Ideal,G,VS1,62.7,56.0,1656,5.08,5.1,3.19
69,2593,0.64,Ideal,F,VVS2,60.9,56.0,3217,5.57,5.59,3.4
70,8178,1.05,Ideal,J,SI2,61.3,56.0,4364,6.56,6.59,4.03
71,44326,0.33,Very Good,H,VS2,62.8,59.0,521,4.38,4.44,2.77
72,9353,1.07,Premium,G,SI2,62.1,59.0,4584,6.54,6.48,4.04
73,25126,2.02,Premium,E,SI2,59.9,58.0,13677,8.18,8.14,4.89
74,42131,0.53,Ideal,F,SI2,63.0,54.0,1279,5.24,5.19,3.29
75,38422,0.39,Premium,E,VS1,59.6,60.0,1026,4.72,4.75,2.82
76,25560,2.1,Premium,I,VS2,60.7,61.0,14394,8.28,8.27,5.02
77,53408,0.7,Premium,F,VS1,61.7,60.0,2669,5.67,5.64,3.49
78,22905,1.51,Very Good,G,SI1,61.5,54.0,10947,7.35,7.42,4.54
79,22529,1.51,Premium,E,SI2,60.6,59.0,10570,7.47,7.41,4.51
80,34238,0.4,Premium,D,SI2,61.9,58.0,855,4.73,4.71,2.92
81,30705,0.3,Ideal,G,VVS1,61.4,56.0,737,4.32,4.34,2.66
82,46350,0.5,Ideal,E,VS1,61.9,54.1,1759,5.09,5.15,3.17
83,38912,0.33,Good,G,IF,57.9,60.0,1052,4.57,4.55,2.64
84,5572,1.14,Premium,J,SI2,60.4,59.0,3861,6.8,6.74,4.09
85,39482,0.41,Ideal,E,VS1,62.7,57.0,1079,4.72,4.76,2.97
86,27363,0.28,Premium,E,VVS2,60.1,59.0,646,4.22,4.26,2.55
87,51896,0.78,Ideal,F,SI2,59.7,57.0,2431,6.01,5.98,3.58
88,23822,1.7,Premium,I,VS2,62.2,58.0,11888,7.65,7.6,4.74
89,52801,0.6,Ideal,G,IF,62.0,55.0,2570,5.39,5.44,3.36
90,17155,1.09,Ideal,E,SI1,61.8,55.0,6849,6.65,6.58,4.09
91,53440,0.81,Ideal,E,SI2,61.4,57.0,2673,6.0,5.97,3.68
92,44534,0.5,Very Good,G,VS1,61.9,59.0,1603,5.06,5.08,3.14
93,2008,0.9,Ideal,J,SI1,62.6,54.0,3102,6.16,6.23,3.88
94,13058,1.01,Very Good,E,SI1,62.8,57.0,5411,6.35,6.39,4.0
95,47659,0.23,Very Good,E,VVS1,61.1,60.0,530,3.95,4.01,2.43
96,36715,0.41,Premium,E,SI2,61.7,58.0,953,4.8,4.76,2.95
97,39880,0.42,Ideal,G,VVS2,62.4,55.0,1103,4.82,4.79,3.0
98,8510,1.03,Fair,G,SI1,64.7,63.0,4424,6.36,6.31,4.1
99,45842,0.5,Good,G,VVS2,63.8,56.0,1715,5.03,5.06,3.22
100,30188,0.35,Ideal,E,VS2,63.5,54.0,722,4.48,4.43,2.83
101,7180,1.01,Very Good,G,SI1,63.3,57.0,4185,6.37,6.35,4.02
102,49279,0.54,Good,F,VS1,63.7,55.0,2090,5.16,5.11,3.27
103,12680,1.09,Ideal,F,SI2,62.0,56.0,5306,6.62,6.58,4.09
104,33612,0.31,Good,D,SI2,63.9,57.0,462,4.28,4.33,2.75
105,26448,1.55,Premium,D,VS2,61.5,58.0,15991,7.48,7.51,4.61
106,2729,0.31,Ideal,D,SI1,61.7,55.0,565,4.37,4.41,2.71
107,36256,0.41,Ideal,E,VS2,62.1,56.0,935,4.74,4.76,2.95
108,35986,0.42,Very Good,H,VVS2,62.9,56.0,921,4.75,4.79,3.0
109,29306,0.25,Ideal,G,VS1,62.3,54.0,438,4.05,4.11,2.54
110,9987,1.12,Premium,I,SI1,60.8,57.0,4704,6.76,6.7,4.09
111,30239,0.33,Ideal,E,VS2,62.3,57.0,723,4.37,4.43,2.74
112,50377,0.44,Good,D,VVS1,59.2,57.0,2250,4.96,5.0,2.95
113,51115,0.7,Very Good,G,VS2,63.4,58.0,2338,5.63,5.57,3.55
114,10439,1.0,Good,D,SI1,65.1,54.0,4786,6.23,6.27,4.07
115,12668,1.01,Premium,H,VS2,61.5,59.0,5303,6.48,6.49,3.99
116,17841,1.7,Ideal,H,I1,62.6,54.0,7197,7.63,7.58,4.77
117,3799,1.0,Good,I,SI2,63.9,60.0,3465,6.26,6.3,4.01
118,4918,0.7,Ideal,G,VVS2,61.6,57.0,3725,5.74,5.71,3.53
119,52396,0.58,Ideal,F,VVS2,62.2,56.0,2509,5.32,5.35,3.32
120,13206,1.11,Ideal,H,SI1,61.6,56.0,5456,6.69,6.65,4.11
121,26517,1.74,Very Good,G,VS2,62.9,57.0,16169,7.64,7.68,4.82
122,21504,1.02,Ideal,F,VVS2,62.3,58.0,9598,6.42,6.45,4.01
123,21229,1.6,Ideal,I,SI1,62.0,55.0,9376,7.53,7.59,4.69
124,13373,0.24,Ideal,F,VS2,62.2,57.0,419,3.96,4.01,2.48
125,34500,0.42,Good,I,VVS1,59.2,61.0,867,4.88,4.91,2.9
126,28576,0.3,Ideal,H,VS1,62.5,56.0,675,4.27,4.24,2.66
127,38516,0.37,Ideal,G,IF,62.4,56.0,1033,4.6,4.64,2.88
128,29434,0.42,Good,H,SI1,63.2,58.0,700,4.77,4.79,3.02
129,8368,1.0,Good,E,SI2,63.5,54.0,4400,6.35,6.41,4.05
130,37591,0.24,Very Good,E,VVS2,62.5,58.0,485,3.96,4.01,2.49
131,8880,1.02,Ideal,J,VS2,62.0,56.0,4485,6.42,6.45,3.99
132,38731,0.4,Ideal,G,VVS1,62.4,54.0,1043,4.73,4.75,2.96
133,13399,0.32,Very Good,F,VS2,63.0,57.0,602,4.33,4.37,2.74
134,39083,0.31,Ideal,E,IF,61.9,56.0,1060,4.35,4.37,2.7
135,42610,0.32,Ideal,H,VS2,62.1,56.0,505,4.37,4.42,2.73
136,41818,0.43,Ideal,F,VVS2,61.9,56.0,1250,4.87,4.82,3.0
137,6994,1.06,Premium,F,SI1,61.9,59.0,4155,6.57,6.52,4.05
138,43622,0.57,Very Good,G,SI1,61.1,57.0,1433,5.32,5.35,3.26
139,48090,1.0,Premium,H,I1,60.4,61.0,1932,6.39,6.32,3.84
140,18885,1.0,Premium,E,VS1,60.4,59.0,7744,6.51,6.54,3.94
141,51708,0.8,Fair,G,SI2,67.1,56.0,2400,5.76,5.73,3.85
142,32690,0.31,Very Good,G,VS1,63.1,59.0,802,4.29,4.27,2.7
143,18273,2.03,Premium,H,I1,59.4,59.0,7421,8.31,8.22,4.91
144,9314,1.11,Ideal,H,SI2,62.7,57.0,4578,6.59,6.66,4.14
145,45633,0.25,Very Good,G,VVS1,61.7,56.0,525,4.07,4.09,2.51
146,13114,1.02,Premium,E,SI1,62.8,58.0,5429,6.45,6.39,4.03
147,23825,1.54,Premium,F,SI1,60.9,59.0,11897,7.56,7.46,4.57
148,32104,0.33,Ideal,D,VS2,62.1,55.0,781,4.43,4.46,2.76
149,42225,0.39,Premium,F,VVS1,62.7,57.0,1290,4.68,4.64,2.92
150,15975,1.27,Ideal,I,VS1,62.8,57.0,6396,6.86,6.89,4.32
151,47932,0.56,Premium,E,VS2,61.4,61.0,1915,5.31,5.28,3.25
152,26195,2.01,Ideal,H,SI2,60.1,57.0,15562,8.24,8.2,4.94
153,38921,0.33,Ideal,G,IF,61.9,54.0,1052,4.46,4.42,2.75
154,53726,0.72,Premium,D,VS2,61.0,59.0,2721,5.77,5.74,3.51
155,30214,0.33,Ideal,E,VS2,62.3,56.0,723,4.46,4.47,2.78
156,1221,0.81,Ideal,I,VS2,61.8,56.0,2939,6.02,5.99,3.71
157,50746,0.81,Fair,I,VS1,66.5,53.0,2297,5.76,5.83,3.86
158,24793,1.31,Ideal,G,VVS2,60.3,56.0,13168,7.09,7.15,4.29
159,24280,1.58,Premium,F,SI1,61.4,61.0,12512,7.48,7.45,4.58
160,16107,1.23,Ideal,H,SI1,61.0,56.0,6439,6.96,6.92,4.23
161,22349,2.01,Premium,J,VS2,58.6,61.0,10401,8.18,8.14,4.78
162,40803,0.41,Good,E,VVS1,60.4,61.0,1169,4.76,4.81,2.89
163,49527,0.52,Ideal,F,VS1,61.3,56.0,2123,5.19,5.22,3.19
164,45401,0.55,Ideal,H,VVS2,60.7,55.0,1668,5.32,5.34,3.24
165,13131,1.05,Premium,E,SI1,61.2,58.0,5433,6.57,6.53,4.01
166,49217,1.06,Very Good,G,I1,60.7,63.0,2080,6.59,6.56,3.99
167,8780,1.0,Premium,H,SI1,62.7,60.0,4469,6.3,6.24,3.93
168,7479,1.0,Ideal,I,SI1,62.8,56.0,4237,6.33,6.38,3.99
169,28990,0.34,Premium,F,VS2,59.2,60.0,686,4.56,4.6,2.71
170,19634,1.54,Ideal,I,SI2,62.0,59.0,8254,7.33,7.38,4.56
171,23002,1.47,Very Good,G,VS2,62.7,56.0,11060,7.15,7.18,4.49
172,45422,0.55,Ideal,E,SI1,61.4,55.0,1668,5.29,5.26,3.24
173,17823,1.08,Ideal,G,VS2,62.3,54.0,7187,6.59,6.61,4.11
174,18622,1.09,Very Good,F,VS1,62.9,58.0,7598,6.51,6.55,4.11
175,35108,0.3,Ideal,F,IF,62.1,57.0,886,4.27,4.3,2.66
176,2360,0.9,Ideal,J,VS1,62.5,55.0,3175,6.18,6.14,3.85
177,33259,0.37,Good,D,VS1,62.1,54.0,825,4.67,4.73,2.92
178,27379,0.35,Very Good,H,SI1,63.2,57.0,647,4.51,4.48,2.84
179,1281,0.81,Ideal,H,SI1,62.3,58.0,2951,5.95,5.96,3.71
180,15703,0.24,Very Good,F,VVS2,61.8,56.0,608,4.01,4.04,2.48
181,36198,0.42,Ideal,F,SI1,61.5,55.0,931,4.82,4.84,2.97
182,35579,0.35,Ideal,F,VS2,62.4,57.0,906,4.51,4.5,2.81
183,49985,0.74,Good,F,SI2,59.3,61.0,2190,5.87,5.97,3.51
184,28895,0.3,Very Good,G,VVS2,61.3,58.0,684,4.28,4.34,2.64
185,49471,0.64,Very Good,E,VS2,63.4,54.0,2114,5.52,5.49,3.49
186,1246,0.85,Good,G,SI1,64.9,56.0,2945,5.95,5.98,3.87
187,39822,0.3,Premium,E,IF,60.1,60.0,1097,4.32,4.3,2.59
188,36628,0.29,Very Good,H,VVS1,62.0,55.0,478,4.24,4.27,2.64
189,39483,0.41,Ideal,E,VS1,61.7,57.0,1079,4.76,4.8,2.95
190,15731,1.51,Fair,H,SI2,64.5,59.0,6291,7.21,7.15,4.63
191,41819,0.6,Ideal,G,SI2,59.1,56.0,1250,5.58,5.52,3.28
192,15035,0.3,Ideal,F,VS2,61.9,55.0,605,4.31,4.32,2.67
193,22261,1.09,Ideal,E,VVS2,61.6,56.0,10314,6.6,6.64,4.08
194,25782,2.01,Premium,I,SI1,60.1,59.0,14752,8.21,8.15,4.92
195,16671,1.26,Premium,H,SI1,62.2,58.0,6664,6.93,6.87,4.29
196,31166,0.41,Good,E,SI1,63.9,58.0,755,4.7,4.72,3.01
197,12949,0.9,Very Good,E,SI1,61.4,56.0,5387,6.19,6.23,3.81
198,20628,1.0,Premium,F,VVS2,60.6,54.0,8924,6.56,6.52,3.96
199,10810,1.0,Very Good,E,SI1,62.1,57.0,4864,6.35,6.4,3.96
200,31743,0.4,Ideal,D,SI1,62.1,56.0,772,4.7,4.74,2.93
201,11645,1.14,Very Good,H,VS2,59.9,57.0,5053,6.78,6.81,4.07
202,38461,0.38,Very Good,F,VVS1,63.8,58.0,1030,4.58,4.61,2.93
203,52431,0.7,Very Good,H,VS2,63.0,55.4,2513,5.67,5.7,3.58
204,36213,0.36,Premium,G,VS1,61.2,60.0,932,4.59,4.56,2.8
205,1975,0.8,Premium,E,SI1,62.9,60.0,3091,5.89,5.87,3.7
206,46582,0.55,Premium,E,VS2,60.5,58.0,1786,5.26,5.32,3.2
207,4740,0.92,Premium,E,SI2,61.8,59.0,3679,6.19,6.11,3.8
208,29064,0.4,Good,E,SI1,63.3,56.0,687,4.68,4.74,2.98
209,5205,1.04,Premium,G,SI1,60.3,58.0,3780,6.6,6.55,3.96
210,37452,0.35,Ideal,E,VS2,62.2,56.0,984,4.53,4.51,2.81
211,26612,2.11,Very Good,I,VS2,60.3,60.5,16363,8.22,8.29,4.98
212,22977,1.5,Very Good,H,VS2,60.7,61.0,11025,7.34,7.41,4.48
213,4879,0.9,Very Good,E,SI2,62.2,54.0,3715,6.13,6.21,3.84
214,41026,0.41,Ideal,E,VVS2,61.5,55.0,1187,4.79,4.83,2.96
215,39363,0.5,Premium,E,SI1,62.2,58.0,1073,5.03,4.87,3.1
216,44620,0.57,Very Good,G,VS2,62.6,55.0,1608,5.26,5.31,3.31
217,10453,1.0,Premium,H,SI1,62.1,56.0,4788,6.48,6.38,3.99
218,24784,2.75,Ideal,D,I1,60.9,57.0,13156,9.04,8.98,5.49
219,45435,0.58,Ideal,H,VS1,61.2,55.0,1671,5.39,5.42,3.31
220,12496,1.0,Very Good,E,SI1,59.6,60.0,5257,6.58,6.51,3.9
221,5055,0.31,Very Good,H,SI1,63.1,57.0,573,4.34,4.31,2.73
222,34852,0.3,Premium,G,VVS2,61.3,57.0,878,4.33,4.29,2.64
223,27996,0.3,Very Good,E,VS2,61.9,61.0,658,4.28,4.32,2.66
224,40728,0.51,Ideal,H,SI1,62.1,54.0,1161,5.13,5.15,3.19
225,12474,1.02,Ideal,H,SI1,60.8,58.0,5251,6.47,6.49,3.94
226,12691,0.26,Very Good,E,VVS2,61.7,60.0,599,4.11,4.12,2.54
227,1175,0.7,Ideal,E,SI1,60.1,57.0,2929,5.78,5.83,3.49
228,8145,0.96,Ideal,G,SI1,62.6,57.0,4355,6.28,6.24,3.92
229,28238,0.33,Ideal,G,VS1,61.4,54.0,666,4.44,4.48,2.74
230,2758,0.9,Good,G,SI1,64.2,58.0,3250,6.04,6.01,3.87
231,23357,0.3,Ideal,G,SI1,62.1,53.0,422,4.32,4.37,2.7
232,8247,1.04,Very Good,G,SI2,62.6,58.0,4375,6.42,6.49,4.04
233,46800,0.7,Premium,F,SI2,60.3,58.0,1806,5.79,5.76,3.48
234,36501,0.33,Very Good,E,VVS1,61.8,54.0,945,4.47,4.49,2.77
235,10317,1.03,Premium,D,SI2,61.3,61.0,4764,6.49,6.46,3.97
236,2807,0.72,Very Good,F,VS1,63.4,57.0,3264,5.68,5.7,3.61
237,20248,1.23,Ideal,F,VS1,61.3,57.0,8679,6.93,6.86,4.23
238,14606,1.21,Premium,J,VVS1,61.3,59.0,5893,6.81,6.86,4.19
239,22572,1.52,Fair,G,VS2,55.2,66.0,10623,7.72,7.67,4.26
240,35893,0.32,Ideal,G,IF,61.8,55.0,918,4.42,4.45,2.74
241,24026,1.54,Premium,H,IF,62.5,58.0,12196,7.33,7.38,4.6
242,40009,0.41,Ideal,F,VS2,62.7,56.0,1107,4.78,4.72,2.98
243,20267,1.74,Premium,J,SI2,59.7,57.0,8690,7.88,7.8,4.68
244,36786,0.34,Premium,E,VS2,58.8,59.0,956,4.59,4.56,2.69
245,2893,0.92,Fair,F,SI2,65.3,58.0,3282,6.08,6.04,3.96
246,41066,0.52,Ideal,F,SI2,62.1,55.0,1191,5.14,5.17,3.2
247,9167,0.98,Very Good,G,SI2,62.2,57.0,4542,6.33,6.37,3.95
248,14343,1.22,Ideal,I,SI1,60.2,57.0,5807,6.99,6.93,4.19
249,23742,2.0,Very Good,J,SI2,59.8,60.0,11792,8.09,8.13,4.85
